iter	Passed	Remaining
0	62	62572
1	76	38083
2	89	29897
3	103	25848
4	117	23360
5	131	21767
6	145	20591
7	159	19734
8	172	18999
9	186	18463
10	200	18010
11	214	17643
12	228	17333
13	242	17058
14	255	16795
15	269	16573
16	283	16381
17	296	16194
18	310	16043
19	324	15902
20	338	15780
21	352	15654
22	365	15539
23	379	15423
24	392	15311
25	406	15229
26	420	15144
27	434	15068
28	447	14990
29	461	14918
30	475	14849
31	488	14777
32	502	14715
33	515	14656
34	529	14594
35	542	14536
36	556	14481
37	569	14428
38	583	14385
39	597	14341
40	610	14291
41	624	14246
42	638	14204
43	651	14161
44	665	14122
45	678	14078
46	693	14052
47	706	14021
48	720	13985
49	734	13954
50	748	13922
51	762	13892
52	775	13859
53	789	13824
54	802	13795
55	816	13764
56	830	13733
57	843	13702
58	857	13673
59	871	13646
60	884	13614
61	898	13591
62	911	13560
63	925	13530
64	939	13509
65	952	13484
66	966	13453
67	979	13428
68	993	13407
69	1007	13383
70	1020	13357
71	1034	13334
72	1048	13308
73	1061	13285
74	1075	13265
75	1089	13241
76	1102	13221
77	1116	13201
78	1130	13181
79	1144	13164
80	1158	13142
81	1172	13122
82	1185	13102
83	1199	13081
84	1213	13062
85	1227	13040
86	1240	13022
87	1254	12999
88	1268	12980
89	1281	12962
90	1295	12941
91	1309	12921
92	1323	12904
93	1336	12884
94	1350	12866
95	1364	12849
96	1378	12829
97	1391	12809
98	1405	12792
99	1419	12771
100	1432	12754
101	1446	12734
102	1460	12716
103	1474	12700
104	1488	12684
105	1501	12665
106	1515	12647
107	1529	12628
108	1542	12612
109	1557	12599
110	1570	12579
111	1584	12561
112	1597	12541
113	1611	12524
114	1625	12507
115	1638	12488
116	1652	12473
117	1666	12454
118	1671	12376
119	1685	12360
120	1699	12342
121	1713	12328
122	1726	12310
123	1740	12294
124	1754	12278
125	1767	12262
126	1781	12244
127	1795	12228
128	1808	12213
129	1822	12196
130	1836	12180
131	1849	12162
132	1863	12146
133	1877	12132
134	1891	12119
135	1904	12101
136	1918	12085
137	1932	12068
138	1945	12050
139	1959	12034
140	1972	12018
141	1986	12001
142	1999	11984
143	2012	11965
144	2026	11949
145	2040	11933
